acl	2.3.1-3
xarchiver	1:0.5.4.20-2
xauth	1:1.1.2-1
xbitmaps	1.1.1-2.2
xbrlapi	6.5-7+deb12u1
xcvt	0.1.2-1
xdg-dbus-proxy	0.1.4-3
xdg-desktop-portal	1.16.0-2
xdg-desktop-portal-gtk	1.14.1-1
xdg-user-dirs	0.18-1
xdg-utils	1.1.3-4.1
xfce4-helpers	4.18.2-1
xfce4-notifyd	0.7.3-1
xfce4-panel	4.18.2-1
xfce4-power-manager	4.18.1-1
xfce4-power-manager-data	4.18.1-1
xfce4-power-manager-plugins	4.18.1-1
xfce4-session	4.18.1-1
xfce4-settings	4.18.2-1
xfce4-terminal	1.0.4-1
xfconf	4.18.0-2
xfdesktop4	4.18.1-1
xfdesktop4-data	4.18.1-1
xfonts-100dpi	1:1.0.5
xfonts-75dpi	1:1.0.5
xfonts-base	1:1.0.5+nmu1
xfonts-encodings	1:1.0.4-2.2
xfonts-scalable	1:1.0.3-1.3
xfonts-unifont	1:15.0.01-2
xfonts-utils	1:7.7+6
xfsprogs	6.1.0-1
xfwm4	4.18.0-1
xiccd	0.3.0-2
xinit	1.4.0-1
xinput	1.6.3-1
xkb-data	2.35.1-1
xkbset	0.6-3
xml-core	0.18+nmu1
xorg	1:7.7+23
xorg-docs-core	1:1.7.1-1.2
xserver-common	2:21.1.7-3+deb12u9
xserver-xorg	1:7.7+23
xserver-xorg-core	2:21.1.7-3+deb12u9
xserver-xorg-input-all	1:7.7+23
xserver-xorg-input-libinput	1.2.1-1+b1
xserver-xorg-input-wacom	1.1.0-1
xserver-xorg-legacy	2:21.1.7-3+deb12u9
xserver-xorg-video-all	1:7.7+23
xserver-xorg-video-amdgpu	23.0.0-1
xserver-xorg-video-ati	1:19.1.0-3
xserver-xorg-video-fbdev	1:0.5.0-2
xserver-xorg-video-intel	2:2.99.917+git20210115-1
xserver-xorg-video-nouveau	1:1.0.17-2
xserver-xorg-video-qxl	0.1.5+git20200331-3
xserver-xorg-video-radeon	1:19.1.0-3
xserver-xorg-video-vesa	1:2.5.0-1+b1
xserver-xorg-video-vmware	1:13.3.0-3.1+b1
xxkb	1.11.1-2
xz-utils	5.4.1-0.2
zenity	3.44.0-1
zenity-common	3.44.0-1
zip	3.0-13
zlib1g	1:1.2.13.dfsg-1
zstd	1.5.4+dfsg2-5
